Process,Rev_num,Sw_rev,Sw,pc,krw,kro
0,0,0.62,0.21,0,0.0027465753424657535,0.6986301369863014
0,0,0.62,0.25,0,0.003458904109589041,0.5835616438356164
0,0,0.62,0.27,0,0.004965171232876713,0.5321150684931507
0,0,0.62,0.28,0,0.0055424589041095885,0.5072342465753424
0,0,0.62,0.29,0,0.006733815068493151,0.503454794520548
0,0,0.62,0.3,0,0.007534246575342466,0.49452054794520545
0,0,0.62,0.31,0,0.010133767123287672,0.48350479452054795
0,0,0.62,0.32,0,0.01363013698630137,0.46712328767123285
0,0,0.62,0.33,0,0.014315068493150685,0.4595890410958904
0,0,0.62,0.34,0,0.015410958904109588,0.4520547945205479
0,0,0.62,0.35,0,0.017123287671232876,0.43630136986301365
0,0,0.62,0.36,0,0.017738287671232877,0.43637876712328766
0,0,0.62,0.37,0,0.019050205479452055,0.4128582191780822
0,0,0.62,0.38,0,0.020018424657534246,0.3971794520547945
0,0,0.62,0.39,0,0.02233472602739726,0.38773150684931507
0,0,0.62,0.4,0,0.02404109589041096,0.373972602739726
0,0,0.62,0.45,0,0.038972602739726026,0.2945205479452055
0,0,0.62,0.5,0,0.05472602739726028,0.22397260273972602
0,0,0.62,0.55,0,0.07534246575342467,0.1876712328767123
0,0,0.62,0.62,0,0.10753424657534247,0.16917808219178082
1,1,0.21,0.21,0,0.0027465753424657535,0.6986301369863014
1,1,0.21,0.25,0,0.006136986301369863,0.6705479452054794
1,1,0.21,0.35,0,0.017123287671232876,0.6027397260273973
1,1,0.21,0.45,0,0.03650684931506849,0.4808219178082192
1,1,0.21,0.5,0,0.065,0.42534246575342466
1,1,0.21,0.55,0,0.09931506849315068,0.3267123287671233
1,1,0.21,0.6,0,0.13904109589041097,0.24726027397260272
1,1,0.21,0.65,0,0.19315068493150686,0.18356164383561643
1,1,0.21,0.7,0,0.25,0.12808219178082192
1,1,0.21,0.76,0,0.35753424657534244,0.09520547945205479
0,2,0.73,0.3,0,0.015136986301369863,0.4828767123287671
0,2,0.73,0.35,0,0.02226027397260274,0.42534246575342466
0,2,0.73,0.4,0,0.030000000000000002,0.35342465753424657
0,2,0.73,0.45,0,0.045,0.263013698630137
0,2,0.73,0.5,0,0.07534246575342467,0.19726027397260276
0,2,0.73,0.55,0,0.11301369863013698,0.14794520547945206
0,2,0.73,0.6,0,0.16643835616438354,0.12465753424657534
0,2,0.73,0.61,0,0.17415547945205478,0.12263561643835616
0,2,0.73,0.62,0,0.18090410958904107,0.11393013698630136
0,2,0.73,0.63,0,0.18816780821917808,0.1138568493150685
0,2,0.73,0.64,0,0.19932671232876714,0.1136958904109589
0,2,0.73,0.65,0,0.21164109589041097,0.11418287671232877
0,2,0.73,0.66,0,0.22865068493150686,0.11627876712328768
0,2,0.73,0.67,0,0.24015616438356166,0.11336438356164383
0,2,0.73,0.68,0,0.25097397260273974,0.11393767123287672
0,2,0.73,0.69,0,0.26333493150684933,0.1136986301369863
0,2,0.73,0.7,0,0.2746575342465753,0.11095890410958903
0,2,0.73,0.73,0,0.3095890410958904,0.10479452054794519
1,3,0.31,0.31,0,0.01602739726027397,0.48424657534246573
1,3,0.31,0.35,0,0.021095890410958905,0.47602739726027393
1,3,0.31,0.4,0,0.030205479452054793,0.4657534246575342
1,3,0.31,0.41,0,0.032663972602739726,0.46401712328767125
1,3,0.31,0.42,0,0.03555986301369863,0.45636780821917805
1,3,0.31,0.43,0,0.03805027397260274,0.4510376712328767
1,3,0.31,0.44,0,0.04054897260273972,0.44568287671232876
1,3,0.31,0.45,0,0.04308219178082192,0.4397260273972603
1,3,0.31,0.46,0,0.046284315068493155,0.4279849315068493
1,3,0.31,0.47,0,0.048703767123287674,0.4169349315068493
1,3,0.31,0.48,0,0.05163958904109589,0.412036301369863
1,3,0.31,0.49,0,0.05489760273972603,0.39843698630136987
1,3,0.31,0.5,0,0.05849315068493151,0.38904109589041097
1,3,0.31,0.55,0,0.08698630136986302,0.3445205479452055
1,3,0.31,0.6,0,0.1315068493150685,0.2636986301369863
1,3,0.31,0.65,0,0.1773972602739726,0.1773972602739726
1,3,0.31,0.7,0,0.23767123287671232,0.12465753424657534
1,3,0.31,0.76,0,0.3445205479452055,0.09315068493150686
