TStep[d],Defaulta,bestTol,cnvminmaxresid,iterationNumber
8.00e+00,5.00e-03,5.00e-03,9.82e-01,0
8.00e+00,5.00e-03,6.00e-03,3.50e+01,1
8.00e+00,5.00e-03,6.00e-03,6.20e-01,2

1.70e+01,5.00e-03,5.00e-03,8.16e-01,0
1.70e+01,5.00e-03,6.00e-03,6.83e+00,1
1.70e+01,5.00e-03,6.00e-03,4.39e-02,2

1.60e+01,5.00e-03,5.00e-03,5.23e-01,0
1.60e+01,5.00e-03,6.00e-03,4.12e+00,1
1.60e+01,5.00e-03,6.00e-03,9.81e-02,2

1.50e+01,5.00e-03,5.00e-03,1.18e+00,0
1.50e+01,5.00e-03,5.00e-03,3.86e+00,1
1.50e+01,5.00e-03,6.00e-03,9.79e-02,2

3.10e+01,5.00e-03,5.00e-03,7.42e+00,0
3.10e+01,5.00e-03,6.00e-03,6.26e+01,1
3.10e+01,5.00e-03,5.00e-03,3.55e+00,2
3.10e+01,5.00e-03,6.00e-03,3.87e-01,3

2.80e+01,5.00e-03,5.00e-03,6.01e+00,0
2.80e+01,5.00e-03,6.00e-03,1.79e+00,1
2.80e+01,5.00e-03,6.00e-03,5.79e-01,2

2.80e+01,5.00e-03,5.00e-03,4.60e+00,0
2.80e+01,5.00e-03,5.00e-03,1.74e+01,1
2.80e+01,5.00e-03,6.00e-03,6.16e-01,2

1.00e+00,5.00e-03,5.00e-03,1.19e-01,0
1.00e+00,5.00e-03,6.00e-03,2.33e-02,1

2.00e+00,5.00e-03,5.00e-03,5.88e-02,0
2.00e+00,5.00e-03,5.00e-03,3.59e-02,1

2.20e+01,5.00e-03,5.00e-03,4.02e-01,0
2.20e+01,5.00e-03,5.00e-03,1.26e+00,1
2.20e+01,5.00e-03,6.00e-03,5.05e-01,2

8.00e+00,5.00e-03,5.00e-03,3.63e-01,0
8.00e+00,5.00e-03,5.00e-03,7.28e+00,1
8.00e+00,5.00e-03,5.00e-03,2.76e-01,2

2.50e+01,5.00e-03,5.00e-03,1.75e+00,0
2.50e+01,5.00e-03,5.00e-03,1.98e+01,1
2.50e+01,5.00e-03,5.00e-03,2.17e+01,2
2.50e+01,5.00e-03,6.00e-03,1.02e+01,3
2.50e+01,5.00e-03,5.00e-03,1.45e+00,4
2.50e+01,5.00e-03,6.00e-03,1.68e-01,5

1.00e+00,5.00e-03,5.00e-03,2.56e-02,0
1.00e+00,5.00e-03,5.00e-03,8.92e-04,1

5.00e+00,5.00e-03,5.00e-03,1.71e-01,0
5.00e+00,5.00e-03,6.00e-03,2.42e-02,1

1.30e+01,5.00e-03,5.00e-03,2.66e-01,0
1.30e+01,5.00e-03,6.00e-03,1.99e-01,1

9.00e+00,5.00e-03,5.00e-03,5.85e-01,0
9.00e+00,5.00e-03,6.00e-03,3.53e-01,1

1.00e+00,5.00e-03,5.00e-03,7.83e-02,0
