TStep[d],Defaulta,bestTol,cnvminmaxresid,cnvresidoil,cnvresidwater,cnvresidgas,iterationNumber
8.00e+00,5.00e-03,5.00e-03,9.82e-01,9.71e-01,8.83e-02,9.82e-01,0
8.00e+00,5.00e-03,1.11e-03,2.93e+01,5.83e-01,6.48e-01,3.50e+01,1
8.00e+00,5.00e-03,2.09e-03,5.77e-01,1.67e-01,4.19e-02,6.20e-01,2

1.70e+01,5.00e-03,5.00e-03,8.16e-01,6.24e-01,7.33e-02,8.16e-01,0
1.70e+01,5.00e-03,8.36e-03,6.80e+00,3.25e-01,3.81e-02,6.80e+00,1
1.70e+01,5.00e-03,5.45e-03,4.39e-02,2.78e-02,5.83e-03,4.71e-02,2

1.60e+01,5.00e-03,5.00e-03,5.23e-01,5.23e-01,6.02e-02,1.97e-01,0
1.60e+01,5.00e-03,3.25e-03,4.12e+00,1.11e-01,3.85e-02,4.21e+00,1
1.60e+01,5.00e-03,8.36e-03,5.76e-02,4.32e-02,6.84e-03,5.76e-02,2

1.50e+01,5.00e-03,5.00e-03,1.18e+00,7.75e-01,4.10e-02,1.18e+00,0
1.50e+01,5.00e-03,7.69e-03,3.83e+00,6.60e-02,3.61e-02,3.83e+00,1
1.50e+01,5.00e-03,7.69e-03,9.67e-02,8.65e-02,1.34e-02,9.68e-02,2

3.10e+01,5.00e-03,5.00e-03,7.42e+00,7.42e+00,9.39e-02,2.83e+00,0
3.10e+01,5.00e-03,9.75e-03,6.17e+01,1.05e+00,4.11e-01,6.17e+01,1
3.10e+01,5.00e-03,9.75e-03,1.88e+00,9.28e-01,3.67e-02,1.88e+00,2
3.10e+01,5.00e-03,1.11e-03,3.72e-01,3.42e-01,2.69e-02,5.18e-01,3

2.80e+01,5.00e-03,5.00e-03,6.01e+00,6.01e+00,8.60e-02,5.56e+00,0
2.80e+01,5.00e-03,8.36e-03,1.79e+00,8.12e-01,1.49e-01,1.79e+00,1
2.80e+01,5.00e-03,7.69e-03,5.79e-01,5.80e-01,1.99e-02,3.71e-01,2

2.80e+01,5.00e-03,5.00e-03,4.60e+00,4.60e+00,4.21e-02,4.43e+00,0
2.80e+01,5.00e-03,9.75e-03,1.72e+01,2.12e+00,5.14e-02,1.72e+01,1
2.80e+01,5.00e-03,9.75e-03,6.03e-01,6.03e-01,1.83e-02,5.03e-01,2

1.00e+00,5.00e-03,5.00e-03,1.19e-01,1.07e-01,1.59e-03,1.19e-01,0
1.00e+00,5.00e-03,5.45e-03,2.41e-02,1.90e-03,1.51e-05,3.61e-02,1

2.00e+00,5.00e-03,5.00e-03,5.88e-02,5.88e-02,3.17e-03,3.82e-02,0
2.00e+00,5.00e-03,9.75e-03,3.45e-02,1.81e-03,3.47e-04,3.45e-02,1

2.20e+01,5.00e-03,5.00e-03,4.02e-01,2.82e-01,3.59e-02,4.02e-01,0
2.20e+01,5.00e-03,7.69e-03,1.25e+00,2.21e-01,3.33e-02,1.26e+00,1
2.20e+01,5.00e-03,7.69e-03,5.01e-01,7.19e-02,3.08e-03,5.02e-01,2

8.00e+00,5.00e-03,5.00e-03,3.63e-01,3.63e-01,1.40e-02,3.34e-01,0
8.00e+00,5.00e-03,9.75e-03,6.94e+00,8.46e-02,5.31e-03,6.94e+00,1
8.00e+00,5.00e-03,9.75e-03,2.61e-01,4.91e-02,1.88e-03,2.61e-01,2

2.50e+01,5.00e-03,5.00e-03,1.75e+00,1.75e+00,4.27e-02,9.67e-01,0
2.50e+01,5.00e-03,1.11e-03,1.97e+01,2.70e+00,6.98e-02,2.02e+01,1
2.50e+01,5.00e-03,4.15e-03,2.17e+01,9.64e-01,3.17e-03,2.19e+01,2
2.50e+01,5.00e-03,7.69e-03,1.02e+01,1.17e+00,6.04e-03,1.02e+01,3
2.50e+01,5.00e-03,2.09e-03,7.19e-01,3.35e-01,6.28e-04,1.38e+00,4

1.00e+00,5.00e-03,5.00e-03,2.56e-02,1.60e-02,1.90e-03,2.56e-02,0
1.00e+00,5.00e-03,7.69e-03,8.80e-04,2.64e-04,3.44e-05,9.04e-04,1

5.00e+00,5.00e-03,5.00e-03,1.71e-01,1.19e-01,9.60e-03,1.71e-01,0
5.00e+00,5.00e-03,1.11e-03,2.41e-02,6.09e-03,1.25e-03,2.43e-02,1

1.30e+01,5.00e-03,5.00e-03,2.66e-01,1.67e-01,2.50e-02,2.66e-01,0
1.30e+01,5.00e-03,1.11e-03,1.97e-01,9.49e-02,1.58e-02,2.13e-01,1

9.00e+00,5.00e-03,5.00e-03,5.85e-01,5.85e-01,1.53e-02,2.21e-01,0
9.00e+00,5.00e-03,1.11e-03,3.54e-01,4.11e-02,4.82e-03,3.61e-01,1

1.00e+00,5.00e-03,5.00e-03,7.83e-02,7.83e-02,1.65e-03,6.45e-02,0
1.00e+00,5.00e-03,9.75e-03,4.40e-03,1.66e-03,5.29e-05,4.40e-03,1

7.00e+00,5.00e-03,5.00e-03,6.77e-01,2.14e-01,1.14e-02,6.77e-01,0
7.00e+00,5.00e-03,9.75e-03,1.88e-01,1.83e-02,1.02e-03,1.88e-01,1

1.50e+01,5.00e-03,5.00e-03,1.97e-01,1.97e-01,2.41e-02,1.12e-01,0
1.50e+01,5.00e-03,9.75e-03,2.03e-01,2.02e-02,1.67e-02,2.03e-01,1

1.60e+01,5.00e-03,5.00e-03,5.90e+00,5.08e-01,5.90e+00,1.95e+00,0
1.60e+01,5.00e-03,4.15e-03,6.02e+00,3.17e-01,6.07e+00,2.67e+00,1
1.60e+01,5.00e-03,1.11e-03,3.47e-01,9.11e-02,7.91e-01,6.05e-01,2

2.90e+01,5.00e-03,5.00e-03,4.43e+00,3.84e-01,4.43e+00,5.91e-01,0
2.90e+01,5.00e-03,1.11e-03,9.44e-01,2.56e-01,8.56e-01,9.55e-01,1

1.00e+00,5.00e-03,5.00e-03,8.88e-02,8.88e-02,3.99e-02,4.71e-02,0
1.00e+00,5.00e-03,5.45e-03,2.20e-03,2.31e-03,8.14e-03,5.05e-04,1

1.00e+00,5.00e-03,5.00e-03,5.51e-02,5.51e-02,4.89e-02,4.69e-02,0
1.00e+00,5.00e-03,1.11e-03,2.57e-03,4.23e-04,9.43e-03,1.26e-03,1

1.70e+01,5.00e-03,5.00e-03,1.90e+00,7.47e-01,1.90e+00,6.91e-01,0
1.70e+01,5.00e-03,3.25e-03,1.49e-01,1.04e-01,1.32e-01,1.50e-01,1

1.00e+01,5.00e-03,5.00e-03,1.57e+00,7.37e-01,1.57e+00,3.55e-01,0
1.00e+01,5.00e-03,2.33e-03,4.39e+00,1.72e-01,1.11e+00,4.81e+00,1
1.00e+01,5.00e-03,1.11e-03,3.49e-02,3.51e-02,3.20e-02,1.38e-02,2

3.00e+00,5.00e-03,5.00e-03,1.29e+00,2.19e-01,1.29e+00,1.17e+00,0
3.00e+00,5.00e-03,8.36e-03,7.50e-01,3.97e-02,7.50e-01,4.48e-01,1

1.20e+01,5.00e-03,5.00e-03,2.95e+00,1.01e+00,9.67e-01,2.95e+00,0
1.20e+01,5.00e-03,1.11e-03,1.31e+01,1.46e-01,3.40e+00,1.31e+01,1
1.20e+01,5.00e-03,7.69e-03,6.14e+00,1.24e-01,1.89e+00,6.14e+00,2
1.20e+01,5.00e-03,2.09e-03,1.01e+01,1.54e-01,1.52e+00,1.01e+01,3
1.20e+01,5.00e-03,5.45e-03,9.66e+00,1.24e-01,1.64e+00,9.66e+00,4
1.20e+01,5.00e-03,8.36e-03,2.53e+00,3.30e-02,3.13e-01,2.53e+00,5
1.20e+01,5.00e-03,4.15e-03,8.85e-01,1.19e-02,1.50e-01,8.86e-01,6

4.00e+00,5.00e-03,5.00e-03,1.50e+00,6.93e-01,2.29e-01,1.50e+00,0
4.00e+00,5.00e-03,8.36e-03,3.04e-01,1.35e-01,2.70e-01,3.04e-01,1
