TStep[d],Defaulta,bestTol,cnvminmaxresid,cnvresidoil,cnvresidwater,cnvresidgas,iterationNumber
3.65e+05,5.00e-03,5.00e-03,1.05e-05,1.05e-05,1.05e-05,0.00e+00,0
3.65e+05,5.00e-03,1.00e-05,3.20e-05,3.92e-05,3.92e-05,0.00e+00,1

4.00e+01,5.00e-03,5.00e-03,8.02e-08,8.02e-08,8.02e-08,0.00e+00,0
4.00e+01,5.00e-03,1.00e-06,3.10e-11,3.24e-09,3.24e-09,0.00e+00,1

1.82e+03,5.00e-03,5.00e-03,2.67e+02,6.88e-06,6.88e-06,2.67e+02,0
1.82e+03,5.00e-03,5.00e-03,3.06e+03,3.07e+03,3.07e+03,2.56e+02,1
1.82e+03,5.00e-03,5.00e-03,3.75e+02,3.82e+02,3.82e+02,9.64e+01,2
1.82e+03,5.00e-03,1.00e-04,4.94e+03,4.97e+03,4.97e+03,2.09e+02,3
1.82e+03,5.00e-03,1.00e-06,4.51e+04,4.54e+04,4.54e+04,2.11e+04,4
1.82e+03,5.00e-03,1.00e-04,1.54e+04,1.85e+04,1.85e+04,5.99e+03,5
1.82e+03,5.00e-03,1.00e-04,8.81e+01,1.75e+05,1.75e+05,1.35e+04,6
1.82e+03,5.00e-03,1.00e-04,2.61e+04,1.30e+04,1.30e+04,2.10e+05,7
1.82e+03,5.00e-03,2.50e-03,1.22e+02,4.32e+04,4.32e+04,1.60e+05,8
1.82e+03,5.00e-03,1.00e-04,2.91e+01,2.93e+04,2.93e+04,1.19e+05,9
1.82e+03,5.00e-03,1.00e-04,7.62e+02,8.50e+03,8.50e+03,3.47e+03,10
1.82e+03,5.00e-03,2.50e-03,2.10e+01,6.67e+03,6.67e+03,8.42e+03,11
1.82e+03,5.00e-03,1.00e-03,2.91e+01,2.70e+05,2.70e+05,2.03e+04,12
1.82e+03,5.00e-03,5.00e-03,8.81e+01,1.32e-06,1.32e-06,8.81e+01,13
1.82e+03,5.00e-03,1.00e-03,2.12e+01,3.19e+04,3.19e+04,2.34e+03,14
1.82e+03,5.00e-03,2.50e-04,2.07e+02,2.07e+02,2.07e+02,4.40e+01,15
1.82e+03,5.00e-03,1.00e-04,4.63e+01,4.62e+03,4.62e+03,6.92e+02,16
1.82e+03,5.00e-03,2.50e-04,7.06e+01,7.06e+01,7.06e+01,5.66e+01,17
1.82e+03,5.00e-03,5.00e-03,2.91e+01,1.12e+04,1.12e+04,1.11e+03,18
1.82e+03,5.00e-03,2.50e-03,9.59e+00,7.66e+02,7.66e+02,5.05e+01,19
1.82e+03,5.00e-03,1.00e-05,9.59e+00,7.77e+03,7.77e+03,5.13e+03,20
1.83e+03,5.00e-03,5.00e-03,4.88e+00,4.76e+00,4.76e+00,4.88e+00,0
1.83e+03,5.00e-03,1.00e-05,1.52e+03,1.92e+04,1.92e+04,1.39e+03,1
1.83e+03,5.00e-03,1.00e-04,1.87e+02,4.38e+04,4.38e+04,2.79e+03,2
1.83e+03,5.00e-03,1.00e-04,6.25e-01,3.63e+02,3.63e+02,1.60e+00,3

1.83e+03,5.00e-03,5.00e-03,5.38e+00,5.38e+00,5.38e+00,5.34e+00,0
1.83e+03,5.00e-03,1.00e-06,3.83e+04,3.94e+04,3.94e+04,2.63e+03,1
1.83e+03,5.00e-03,1.00e-06,2.41e+02,5.65e+02,5.65e+02,1.97e+00,2
1.83e+03,5.00e-03,2.50e-03,6.47e-01,6.56e-01,6.56e-01,6.49e-01,3

1.82e+03,5.00e-03,5.00e-03,4.62e+00,4.38e+00,4.38e+00,4.62e+00,0
1.82e+03,5.00e-03,1.00e-03,1.29e+00,3.84e+04,3.84e+04,2.42e+03,1
1.82e+03,5.00e-03,2.50e-03,5.22e+02,5.27e+02,5.27e+02,1.47e+00,2
1.82e+03,5.00e-03,2.50e-03,4.42e-01,4.88e-01,4.88e-01,4.86e-01,3

1.82e+03,5.00e-03,5.00e-03,4.41e+00,4.36e+00,4.36e+00,4.41e+00,0
1.82e+03,5.00e-03,1.00e-06,3.31e+02,3.99e+04,3.99e+04,2.71e+03,1
1.82e+03,5.00e-03,2.50e-03,1.25e+02,3.19e+02,3.19e+02,1.65e+00,2
1.82e+03,5.00e-03,1.00e-04,4.33e-01,5.04e-01,5.04e-01,5.46e-01,3

1.83e+03,5.00e-03,5.00e-03,2.58e+02,4.24e+00,4.24e+00,2.58e+02,0
1.83e+03,5.00e-03,2.50e-03,3.83e+04,3.87e+04,3.87e+04,2.52e+03,1
1.83e+03,5.00e-03,2.50e-04,2.76e+02,2.76e+02,2.76e+02,8.52e+01,2
1.83e+03,5.00e-03,5.00e-03,2.81e+01,1.44e+04,1.44e+04,1.00e+03,3
1.83e+03,5.00e-03,1.00e-03,4.60e+01,5.51e+04,5.51e+04,7.79e+04,4
1.83e+03,5.00e-03,5.00e-03,1.84e+01,2.04e+02,2.04e+02,2.81e+01,5
1.83e+03,5.00e-03,2.50e-04,9.27e+00,1.41e-01,1.41e-01,9.27e+00,6
1.83e+03,5.00e-03,2.50e-04,9.18e+00,9.18e+00,9.18e+00,8.51e+00,7
1.83e+03,5.00e-03,2.50e-04,5.91e+00,5.70e+00,5.70e+00,5.91e+00,8
1.83e+03,5.00e-03,2.50e-04,8.55e+00,8.55e+00,8.55e+00,6.30e+00,9
1.83e+03,5.00e-03,2.50e-03,5.76e+00,3.10e+00,3.10e+00,1.24e+01,10
1.83e+03,5.00e-03,2.50e-04,1.24e+01,1.24e+01,1.24e+01,2.52e+00,11
1.83e+03,5.00e-03,2.50e-03,1.34e+01,2.11e+04,2.11e+04,1.48e+03,12
1.83e+03,5.00e-03,5.00e-03,3.06e+00,8.13e+02,8.13e+02,3.95e+04,13
